Washington StL,8581
Washington St,8588
Waterloo,8595
Wayland,8606
Wayne St MI,8614
Wayne St NE,8621
Waynesburg,8625
Webber,8632
Weber St,8636
Wesleyan CT,8663
West Alabama,8674
West Chester,8679
West Florida,8694
West Georgia,8698
West Liberty,8703
W Texas A&M,8710
West Virginia,8716
WV State,8723
WV Wesleyan,8732
W Carolina,8742
W Connecticut,8747
W Illinois,8754
WKU,8761
W Michigan,8767
W New England,8778
W New Mexico,8785
Western ON,8792
W Oregon,8795
Western St CO,8802
Westfield St,8818
Westminster MO,8824
Westminster PA,8828
Wheaton IL,8841
Wheeling,8856
Whitworth,8878
Widener,8903
Laurier,8916
Wilkes,8921
Willamette,8928
William & Mary,8934
Wm Jewell,8946
Wm Paterson,8951
William Penn,8956
W Woods,8966
Williams,8970
Wilmington OH,8996
Windsor,9004
Wingate,9007
Winona St,9015
W Salem St,9020
Wisconsin,9031
WI Lutheran,9042
WI Eau Claire,9047
WI LaCrosse,9058
WI Oshkosh,9068
WI Platteville,9077
WI River Falls,9081
WI Stevens Pt,9089
WI Stout,9097
WI Whitewater,9110
Wittenberg,9118
Wofford,9126
Wooster,9130
Worcester St,9140
Worcester Tech,9146
Wyoming,9162
Yale,9177
York ON,9209
Youngstown St,9217
Ave Maria,69846
Andrew Col,75324
American River,95206
Butte Col,95207
Cabrillo,95208
Chabot,95209
City Col San Fran,95210
Col San Mateo,95212
Col of the Redwoods,95213
Col of the Sequoias,95214
Siskiyous,95215
Contra Costa,95216
De Anza Col,95217
Diablo Val,95218
Feather River,95219
Foothill Col,95220
Fresno City Col,95221
Gavilan,95222
Hartnell,95223
Laney,95224
Los Medanos,95225
Merced Col,95227
Modesto JC,95228
Monterey Peninsula,95229
Reedley,95230
Sacramento City,95231
San Joaquin Delta,95232
San Jose City Col,95233
Santa Rosa JC,95234
Shasta Col,95235
Sierra Col,95236
West Hills,95238
Yuba,95240
Allan Hancock,95242
Antelope Val CC,95243
Bakersfield Col,95244
Cerritos Col,95245
Chaffey,95246
Citrus Col,95247
Col of the Canyons,95248
Col of the Desert,95249
Compton CC,95250
East LA Col,95251
El Camino Col,95252
Fullerton Col,95253
Glendale CA,95254
Golden West,95255
Grossmont,95256
Long Beach City Col,95257
LA Pierce,95259
LA Southwest,95260
LA Valley Col,95261
Moorpark,95262
Mt San Antonio,95263
Mt San Jacinto,95264
Orange Coast,95265
Palomar Col,95266
Pasadena City Col,95267
Riverside CC,95268
Saddleback,95269
San Bernardino Val,95270
San Diego Mesa,95271
Santa Ana Col,95272
Santa Barbara City,95273
Santa Monica Col,95274
Ventura Col,95276
Victor Valley,95277
West LA Col,95278
Southwestern CA,95291
Lawrence Tech,97089
Thomas GA,98182
Roosevelt,101224
Cent Georgia Tech,106316
VA-Lynchburg,115164
Keiser,282494
Hocking,285173
Ottawa AZ,297890
North American,307782
Ft Lauderdale,361284
Lincoln CA,361373
Community Chr MI,499432
